Split updates,Joint updates
2.1093638183290415,1.8305378440349365
0.9710575029316807,0.08547837998408087
1.0350486532657541,1.0509336823696032
2.427703900784303,2.7968744851108798
0.37163592469465306,0.32560429878271724
5.568478612744723,1.8235334762130784
1.2216704847631794,1.091024476724794
-0.9126708243334826,-1.015905338483476
0.3342741967488863,0.34284801163382655
0.957783861018304,0.9608657744067781
2.7420925051255978,2.5405189292461805
0.6062443315244543,0.7134686483259173
0.955229007539261,0.9298960118261508
1.4961026967303255,2.166159225567355
2.9513966158755474,3.5812440518638113
1.432471588948382,1.6767761971328177
